gene,jw_id,medium,cluster,n_replicates,best_model,gr,N_max,lag,shape,aicc,converged
yfbR,JW2288,LB,2,3,gompertz,0.2696596312336524,1.2381736860122012,NaN,NaN,-112.75965170091922,true
tfaE,JW1142,LB,1,3,aHPM,1.1043492813355875,1.1443477986274506,49.9960549737502,0.42534143287606335,-115.15491324055051,true
hyfB,JW2467,M63,1,3,aHPM,0.5930635997348299,0.9331488011819825,0.9010939883776963,0.7751162076729862,-137.76663410054,true
aaeA,JW3210,LB,2,3,aHPM,1.0066885915571637,0.8345061797569457,12.973331387514435,0.6203933425913118,-85.48886542399664,true
aaeA,JW3210,M63,2,3,aHPM,0.6678924439564051,0.903331364668082,1.6800397730734546,0.7567972731426968,-120.49191173806322,true
yfbR,JW2288,M63,2,3,aHPM,0.6414267292499432,1.0425016099608888,4.474661064632061,0.6477153139007494,-145.80758939088292,true
tfaE,JW1142,M63,2,3,aHPM,0.8906738929418702,0.9509184045123606,0.09346960788386752,0.24965952507167852,-133.35714373731216,true
hyfC,JW2468,LB,1,3,aHPM,0.9904787024048677,1.1804922007226752,49.98025417972439,0.4490104649210992,-118.15868479347688,true
tfaQ,JW1539,LB,2,3,aHPM,1.6625798989261322,0.7218955183126702,0.9551482394516958,0.31597296915900075,-78.72574800044343,true
aaeB,JW3209,LB,2,3,gompertz,0.3459630159981587,0.9160664490709374,NaN,NaN,-112.30773150437565,true
yfbS,JW2289,LB,2,3,gompertz,0.3249965645610555,1.0700732614458868,NaN,NaN,-105.27102919654614,true
hyfC,JW2468,M63,2,3,baranyi_richards,0.5510853082034607,0.9226195976284183,3.5762627691180655,3.8868618002072752,-147.85103744522183,true
aaeB,JW3209,M63,2,3,baranyi_richards,0.6713741082498081,0.8152668280253909,3.8458541581793315,2.9025631438231025,-141.02517368826338,true
yfbS,JW2289,M63,1,3,aHPM,0.6503471328643753,1.0253264854872055,1.7978444211276436,0.5698104701376141,-133.54249056955135,true
hyfD,JW2469,LB,2,3,aHPM,1.4050644563997812,1.1776370186241882,49.99992377600622,0.3164109941929808,-118.20016489488702,true
tfaQ,JW1539,M63,1,3,aHPM,0.7426399133157101,0.9146384708092571,0.06052750360558538,0.3010606805151439,-131.78790229957144,true
aaeR,JW3212,LB,1,3,aHPM,0.9792200825643166,1.217764090673871,49.99970835323202,0.5856324813386414,-85.51225429266817,true
yfbT,JW5376,LB,1,3,aHPM,1.1763153111647247,1.208686303688811,49.99936311206526,0.43154737184506925,-117.31661529767032,true
hyfD,JW2469,M63,1,3,aHPM,0.7838858931099744,0.9976445345339373,0.8532993735732889,0.4336788515307728,-125.6002512496744,true
tfaR,JW1367,LB,2,3,gompertz,0.32677877499302355,1.0398652146485368,NaN,NaN,-101.0338670226548,true
aaeR,JW3212,M63,1,3,aHPM,1.0778355809494862,1.08736755732837,2.54202404552355,0.27280319464579245,-127.34509729660314,true
hyfE,JW2470,LB,2,3,aHPM,1.2314734403502963,1.2002821539607946,49.999755041765454,0.38412042415134445,-97.48727459719555,true
yfbT,JW5376,M63,2,3,aHPM,0.9270494757929894,1.0411951967753372,1.5346516950181959,0.33508581654088354,-130.3940772938085,true
tfaR,JW1367,M63,1,3,aHPM,0.6715728180468836,0.7705950874015282,1.0619683334900423,0.6396160142064896,-125.15545404252883,true
aaeX,JW5541,LB,1,3,aHPM,1.6693091863804692,1.1347504756406444,49.999948663779996,0.28014067639609325,-87.53222416491124,true
yfbU,JW2291,LB,1,3,aHPM,1.2093597405212138,1.1635154028610524,49.99938012503997,0.4215598719024096,-85.97733461827124,true
hyfE,JW2470,M63,1,3,gompertz,0.1293968887176221,1.3710157228457087,NaN,NaN,-114.97064170679441,true
aaeX,JW5541,M63,2,3,aHPM,0.6693434489289508,0.9612957068862246,0.24675106676495312,0.5200106513467065,-137.06979384613234,true
