gene,in_screen,non_growing_m63,amino_acid_biosynthesis_eco01230,wider_biosynthesis_set,in_eco01230,in_eco01240,in_eco00230,in_eco00240
aaea,True,False,False,False,False,False,False,False
aaeb,True,False,False,False,False,False,False,False
aaer,True,False,False,False,False,False,False,False
aaex,True,False,False,False,False,False,False,False
aas,True,False,False,False,False,False,False,False
aat,True,False,False,False,False,False,False,False
abga,True,False,False,False,False,False,False,False
abgb,True,False,False,False,False,False,False,False
abgr,True,False,False,False,False,False,False,False
abgt,True,False,False,False,False,False,False,False
abrb,True,False,False,False,False,False,False,False
acea,True,False,False,False,False,False,False,False
aceb,True,False,False,False,False,False,False,False
acee,True,False,False,False,False,False,False,False
acef,True,False,False,False,False,False,False,False
acek,True,False,False,False,False,False,False,False
acka,True,False,False,False,False,False,False,False
acna,True,False,True,True,True,False,False,False
acnb,True,False,True,True,True,False,False,False
acpt,True,False,False,False,False,False,False,False
acra,True,False,False,False,False,False,False,False
acrb,True,False,False,False,False,False,False,False
acrd,True,False,False,False,False,False,False,False
acre,True,False,False,False,False,False,False,False
acrf,True,False,False,False,False,False,False,False
acrr,True,False,False,False,False,False,False,False
acs,True,False,False,False,False,False,False,False
actp,True,False,False,False,False,False,False,False
ada,True,False,False,False,False,False,False,False
add,True,False,False,True,False,False,True,False
ade,True,False,False,False,False,False,False,False
adhe,True,False,False,False,False,False,False,False
adhp,True,False,False,False,False,False,False,False
adia,True,False,False,False,False,False,False,False
adic,True,False,False,False,False,False,False,False
adiy,True,False,False,False,False,False,False,False
aega,True,False,False,False,False,False,False,False
aer,True,False,False,False,False,False,False,False
aes,True,False,False,False,False,False,False,False
afub,True,False,False,False,False,False,False,False
afuc,True,False,False,False,False,False,False,False
agaa,True,False,False,False,False,False,False,False
agab,True,False,False,False,False,False,False,False
agac,True,False,False,False,False,False,False,False
agad,True,False,False,False,False,False,False,False
agai,True,False,False,False,False,False,False,False
agar,True,False,False,False,False,False,False,False
agas,True,False,False,False,False,False,False,False
agav,True,False,False,False,False,False,False,False
agaw,True,False,False,False,False,False,False,False
agp,True,False,False,False,False,False,False,False
ahpc,True,False,False,False,False,False,False,False
ahpf,True,False,False,False,False,False,False,False
aidb,True,False,False,False,False,False,False,False
ais,True,False,False,False,False,False,False,False
alas,True,False,False,False,False,False,False,False
alda,True,False,False,False,False,False,False,False
aldb,True,False,False,False,False,False,False,False
alka,True,False,False,False,False,False,False,False
alkb,True,False,False,False,False,False,False,False
alla,True,False,False,True,False,False,True,False
allb,True,False,False,True,False,False,True,False
allc,True,False,False,True,False,False,True,False
alld,True,False,False,True,False,False,True,False
allr,True,False,False,False,False,False,False,False
alpa,True,False,False,False,False,False,False,False
alr,True,False,False,False,False,False,False,False
alsa,True,False,False,False,False,False,False,False
alsb,True,False,False,False,False,False,False,False
alsc,True,False,False,False,False,False,False,False
alse,True,False,False,False,False,False,False,False
alx,True,False,False,False,False,False,False,False
amia,True,False,False,False,False,False,False,False
amib,True,False,False,False,False,False,False,False
amic,True,False,False,False,False,False,False,False
amn,True,False,False,True,False,False,True,False
