gene,medium,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,converged
tyrR,LB,0.8194306472808001,0.04586576026875356,1.2529544973607445,10.5,15.0,0.8458887678415323,0.949433127906973,10.132437823463182,0.3896333333333332,True
hchA,LB,0.8126413831096796,0.03183852943378861,1.1128619441279322,1.75,6.0,0.8529557994050537,0.9760287476824185,0.9587649005183106,1.0769666666666666,True
tdcA,LB,1.0379873723509865,0.03752105538505001,1.3460727957627814,2.25,6.75,0.6677799740376452,0.9782693205167303,1.696396371189919,1.0943166666666666,True
prpC,LB,1.1453640352460612,0.04350697209066204,1.5012509432866648,2.5,7.0,0.6051763100899487,0.9760582822428077,1.9820448063686145,1.0799166666666666,True
cytR,LB,0.7563365403092055,0.03382139725507523,1.0974519690488893,1.75,6.25,0.9164533823482505,0.9671236312925373,0.9537156388071857,1.1324833333333335,True
hupB,LB,0.7990453815542549,0.03584820617005719,1.1253701027517606,2.5,7.0,0.8674691032087279,0.9669151439351927,1.86848966170368,1.0562666666666667,True
zntR,LB,0.9497215318639127,0.03735931634982715,1.2515904151394377,2.25,6.75,0.7298425457403103,0.9743683041255028,1.5562268975781346,1.1037166666666667,True
puuP,LB,1.1378627420552707,0.031113425760378084,1.3041412925346485,0.75,3.5,0.609165899313958,0.9925786851943341,0.6963338925397435,1.1092266666666666,True
deoR,LB,0.7284458516910525,0.0395557997452419,1.1307162719069757,1.75,6.0,0.9515424913888068,0.9549468685985015,0.331330233436673,1.0060833333333334,True
lrp,LB,0.7474131710959687,0.0416044610610117,1.1510182409035896,1.75,6.0,0.927394923404346,0.9527649828637578,0.0676882161089212,1.0501,True
rhaR,LB,0.8286490234078234,0.030374426622741597,1.1161181213657883,1.75,6.25,0.8364786067198557,0.9776686216643743,1.1961683602072861,1.1366499999999997,True
miaA,LB,1.1510034573880308,0.03567384784799602,1.3352004132247084,1.75,3.5,0.6022112063267842,0.9942693752882232,0.6914161879386924,1.0208,True
nac,LB,0.8079744357222336,0.03660233278780546,1.1591540563007858,1.75,6.0,0.857882563995176,0.9682084897254956,0.7362627804741392,1.049583333333333,True
dsdC,LB,0.8468715487928199,0.04154978914181655,1.2548758191918947,1.75,6.25,0.818479711058894,0.9606872424704013,1.0114593810858852,1.0929666666666666,True
dgsA,LB,1.2428272819244275,0.04526833154486422,1.536424975379073,1.75,3.5,0.5577180277911645,0.9921027601548337,0.5460436825351939,1.1694900000000001,True
citE,LB,1.3230949400849976,0.02834082889178037,1.4303747448062203,1.75,3.75,0.5238831769059721,0.9967985368245771,0.9140820377017715,1.1033866666666667,True
yafC,LB,0.8167872172443493,0.04854085631702438,1.3739184237021846,1.75,6.0,0.8486263814197083,0.9465135445697834,0.14670337607233672,1.0975833333333334,True
idnR,LB,0.7995585001966277,0.041766816177316785,1.1830976562904094,1.75,6.0,0.8669124027691362,0.9581665907742516,0.6478638502490435,1.0946500000000001,True
nagC,LB,0.858323028549201,0.03266229807674353,1.1873733351058577,3.25,7.75,0.8075598084925582,0.9759741272482355,2.812034307097913,1.1299833333333331,True
mhpR,LB,1.0984360447259789,0.04759588106466884,1.4227768807427401,1.75,5.5,0.6310309861807759,0.9743876747989042,1.0110042832835404,1.0913166666666667,True
rcsC,LB,0.9187284136380796,0.031426545065541725,1.1972397652172928,2.75,7.25,0.7544636372082437,0.9804964385436556,2.204956947653173,1.0923333333333334,True
cyoB,LB,0.7033259964024936,0.02826033612439673,1.0102620104210254,3.5,8.0,0.9855275990158008,0.9732864920014996,2.769192130949863,1.0451499999999998,True
