gene,jw_id,medium,n_replicates
aaeA,JW3210,LB,3
aaeA,JW3210,M63,3
aaeB,JW3209,LB,3
aaeB,JW3209,M63,3
aaeR,JW3212,LB,3
aaeR,JW3212,M63,3
aaeX,JW5541,LB,3
aaeX,JW5541,M63,3
aas,JW2804,LB,3
aas,JW2804,M63,3
aat,JW0868,LB,3
aat,JW0868,M63,3
abgA,JW5205,LB,3
abgA,JW5205,M63,3
abgB,JW1331,LB,3
abgB,JW1331,M63,3
abgR,JW1333,LB,3
abgR,JW1333,M63,3
abgT,JW5822,LB,3
abgT,JW5822,M63,3
abrB,JW5097,LB,3
abrB,JW5097,M63,3
aceA,JW3975,LB,3
aceA,JW3975,M63,3
aceB,JW3974,LB,3
aceB,JW3974,M63,3
aceE,JW0110,LB,3
aceE,JW0110,M63,3
aceF,JW0111,LB,3
aceF,JW0111,M63,3
aceK,JW3976,LB,3
aceK,JW3976,M63,3
ackA,JW2293,LB,3
ackA,JW2293,M63,3
acnA,JW1268,LB,3
acnA,JW1268,M63,3
acnB,JW0114,LB,3
acnB,JW0114,M63,3
acpT,JW3440,LB,3
acpT,JW3440,M63,3
acrA,JW0452,LB,3
acrA,JW0452,M63,3
acrB,JW0451,LB,3
acrB,JW0451,M63,3
acrD,JW2454,LB,3
acrD,JW2454,M63,3
acrE,JW3233,LB,3
acrE,JW3233,M63,3
acrF,JW3234,LB,3
acrF,JW3234,M63,3
acrR,JW0453,LB,3
acrR,JW0453,M63,3
acs,JW4030,LB,3
acs,JW4030,M63,3
actP,JW4028,LB,3
actP,JW4028,M63,3
ada,JW2201,LB,3
ada,JW2201,M63,3
add,JW1615,LB,3
add,JW1615,M63,3
ade,JW3640,LB,3
ade,JW3640,M63,3
adhE,JW1228,LB,3
adhE,JW1228,M63,3
adhP,JW1474,LB,3
adhP,JW1474,M63,3
adiA,JW5731,LB,3
adiA,JW5731,M63,3
adiC,JW4076,LB,3
adiC,JW4076,M63,3
adiY,JW4077,LB,3
adiY,JW4077,M63,3
aegA,JW2452,LB,3
aegA,JW2452,M63,3
aer,JW3043,LB,3
aer,JW3043,M63,3
aes,JW0465,LB,3
aes,JW0465,M63,3
afuB,JW0255,LB,3
afuB,JW0255,M63,3
afuC,JW0254,LB,3
afuC,JW0254,M63,3
agaA,JW5527,LB,3
agaA,JW5527,M63,3
agaB,JW3107,LB,3
agaB,JW3107,M63,3
agaC,JW3108,LB,3
agaC,JW3108,M63,3
agaD,JW3109,LB,3
agaD,JW3109,M63,3
agaI,JW3110,LB,3
agaI,JW3110,M63,3
agaR,JW3100,LB,3
agaR,JW3100,M63,3
agaS,JW3105,LB,3
agaS,JW3105,M63,3
agaV,JW3102,LB,3
agaV,JW3102,M63,3
agaW,JW3103,LB,3
agaW,JW3103,M63,3
agp,JW0987,LB,3
agp,JW0987,M63,3
ahpC,JW0598,LB,3
ahpC,JW0598,M63,3
ahpF,JW0599,LB,3
ahpF,JW0599,M63,3
aidB,JW5867,LB,3
aidB,JW5867,M63,3
ais,JW2246,LB,3
ais,JW2246,M63,3
alaS,JW2667,LB,3
alaS,JW2667,M63,3
aldA,JW1412,LB,3
aldA,JW1412,M63,3
aldB,JW3561,LB,3
aldB,JW3561,M63,3
alkA,JW2053,LB,3
alkA,JW2053,M63,3
alkB,JW2200,LB,3
alkB,JW2200,M63,3
allA,JW0493,LB,3
allA,JW0493,M63,3
allB,JW0500,LB,3
allB,JW0500,M63,3
allC,JW0504,LB,3
allC,JW0504,M63,3
allD,JW0505,LB,3
allD,JW0505,M63,3
allR,JW0494,LB,3
allR,JW0494,M63,3
alpA,JW2604,LB,3
alpA,JW2604,M63,3
alr,JW4013,LB,3
alr,JW4013,M63,3
alsA,JW4048,LB,3
alsA,JW4048,M63,3
alsB,JW4049,LB,3
alsB,JW4049,M63,3
alsC,JW4047,LB,3
alsC,JW4047,M63,3
alsE,JW4046,LB,3
alsE,JW4046,M63,3
alx,JW5515,LB,3
alx,JW5515,M63,3
amiA,JW2428,LB,3
amiA,JW2428,M63,3
amiB,JW4127,LB,3
amiB,JW4127,M63,3
amiC,JW5449,LB,3
amiC,JW5449,M63,3
amn,JW1963,LB,3
amn,JW1963,M63,3
ampC,JW4111,LB,3
ampC,JW4111,M63,3
ampD,JW0106,LB,3
ampD,JW0106,M63,3
ampE,JW0107,LB,3
ampE,JW0107,M63,3
ampG,JW0423,LB,3
