cog_category,importance,method,parameter,medium,n_genes,cog_description
E,0.07046563559933874,Spearman_abs_rho,gr,M63,3885,Amino acid metabolism
H,0.04254155324111511,Spearman_abs_rho,gr,M63,3885,Coenzyme metabolism
S,0.03962602098469722,Spearman_abs_rho,gr,M63,3885,Unknown function
D,0.032059695710565654,Spearman_abs_rho,gr,M63,3885,Cell cycle/division
K,0.02104742584930844,Spearman_abs_rho,gr,M63,3885,Transcription
M,0.017531433172511535,Spearman_abs_rho,gr,M63,3885,Cell wall/membrane
L,0.016940955212107905,Spearman_abs_rho,gr,M63,3885,DNA replication/repair
C,0.014813637344032834,Spearman_abs_rho,gr,M63,3885,Energy production
F,0.014456642064916661,Spearman_abs_rho,gr,M63,3885,Nucleotide metabolism
Q,0.013974812934990633,Spearman_abs_rho,gr,M63,3885,Secondary metabolites
V,0.010957543371639355,Spearman_abs_rho,gr,M63,3885,Defense mechanisms
A,0.00821243407035625,Spearman_abs_rho,gr,M63,3885,RNA processing
P,0.0057849782969076665,Spearman_abs_rho,gr,M63,3885,Inorganic ion transport
T,0.005780219611216559,Spearman_abs_rho,gr,M63,3885,Signal transduction
X,0.004811213644561805,Spearman_abs_rho,gr,M63,3885,Mobilome
U,0.0039028116246350103,Spearman_abs_rho,gr,M63,3885,Intracellular trafficking
O,0.003108987417523749,Spearman_abs_rho,gr,M63,3885,Post-transl. modification
I,0.0030210338069529153,Spearman_abs_rho,gr,M63,3885,Lipid metabolism
N,0.0025081832663346516,Spearman_abs_rho,gr,M63,3885,Cell motility
G,0.0020519245597804474,Spearman_abs_rho,gr,M63,3885,Carbohydrate metabolism
W,0.0015784225869939445,Spearman_abs_rho,gr,M63,3885,Unknown
R,0.0014289138343698638,Spearman_abs_rho,gr,M63,3885,General function
J,4.30855921742243e-05,Spearman_abs_rho,gr,M63,3885,Translation
